Date,Year,Month,Month_Name,Min Temperature(°C),Max Temperature(°C),Average Temperature(°C),Precipitation(mm),Wind(km/h),Relative Humidity,Solar(W/m²)
1979-05-25,1979,5,May,13.387,27.035,20.211,0.0,3.466,0.606,22.906
1979-05-26,1979,5,May,11.129,26.525,18.827,0.0,3.162,0.597,22.976
1979-05-27,1979,5,May,11.867,26.951,19.409,0.0,3.196,0.585,23.029
1979-05-28,1979,5,May,10.723,25.928,18.326,0.0,2.825,0.544,23.005
1979-05-29,1979,5,May,9.802,25.82,17.811,0.0,2.911,0.52,23.031
1979-05-30,1979,5,May,9.461,26.878,18.17,0.0,2.534,0.51,22.964
1979-05-31,1979,5,May,10.415,27.567,18.991,0.0,2.49,0.527,22.864
1979-06-01,1979,6,June,11.329,27.168,19.248,0.0,3.056,0.604,22.511
1979-06-02,1979,6,June,13.77,26.659,20.214,0.0,4.142,0.556,21.786
1979-06-03,1979,6,June,12.013,24.437,18.225,0.0,4.339,0.529,22.683
1979-06-04,1979,6,June,8.037,24.702,16.369,0.0,3.021,0.607,22.474
1979-06-05,1979,6,June,8.624,25.022,16.823,0.0,2.774,0.662,22.225
1979-06-06,1979,6,June,8.133,25.2,16.666,0.0,2.865,0.558,22.829
1979-06-07,1979,6,June,8.457,25.645,17.051,0.0,2.646,0.515,22.837
1979-06-08,1979,6,June,8.935,26.558,17.746,0.0,2.572,0.555,22.494
1979-06-09,1979,6,June,7.393,25.816,16.604,0.0,2.357,0.579,22.386
1979-06-10,1979,6,June,8.2,25.993,17.096,0.0,2.256,0.562,22.631
1979-06-11,1979,6,June,5.715,26.702,16.208,0.0,1.963,0.54,22.587
1979-06-12,1979,6,June,8.399,27.044,17.722,0.0,2.693,0.483,22.515
1979-06-13,1979,6,June,7.333,25.317,16.325,0.0,3.269,0.367,22.699
1979-06-14,1979,6,June,8.565,21.022,14.793,0.0,4.452,0.55,20.728
1979-06-15,1979,6,June,5.55,19.149,12.35,0.0,4.643,0.559,22.714
1979-06-16,1979,6,June,3.58,19.045,11.312,0.0,4.554,0.668,21.905
1979-06-17,1979,6,June,4.618,17.827,11.222,0.027,4.497,0.718,17.655
1979-06-18,1979,6,June,4.546,17.798,11.172,0.082,4.031,0.751,16.981
1979-06-19,1979,6,June,4.734,18.524,11.629,0.221,3.566,0.774,15.545
1979-06-20,1979,6,June,4.922,20.609,12.766,0.27,3.014,0.759,15.111
1979-06-21,1979,6,June,6.036,22.739,14.388,0.0,3.146,0.673,22.398
1979-06-22,1979,6,June,5.271,22.923,14.097,0.0,3.342,0.591,22.488
1979-06-23,1979,6,June,5.31,21.09,13.2,0.0,3.288,0.62,22.374
1979-06-24,1979,6,June,5.128,22.583,13.855,0.0,2.897,0.636,22.376
1979-06-25,1979,6,June,5.504,23.953,14.729,0.0,2.285,0.641,22.321
1979-06-26,1979,6,June,4.619,24.521,14.57,0.0,2.393,0.616,22.33
1979-06-27,1979,6,June,5.44,24.464,14.952,0.0,2.268,0.554,22.559
1979-06-28,1979,6,June,5.087,25.044,15.065,0.0,2.508,0.468,22.788
1979-06-29,1979,6,June,5.726,24.49,15.108,0.0,2.96,0.386,22.911
1979-06-30,1979,6,June,5.31,23.009,14.16,0.0,2.852,0.465,22.784
1979-07-01,1979,7,July,5.175,23.418,14.297,0.0,2.955,0.532,22.697
1979-07-02,1979,7,July,5.549,23.291,14.42,0.0,3.05,0.564,22.558
1979-07-03,1979,7,July,7.972,21.34,14.656,0.0,4.451,0.553,22.561
1979-07-04,1979,7,July,6.178,18.368,12.273,0.076,4.399,0.694,16.294
1979-07-05,1979,7,July,4.57,20.152,12.361,0.0,4.244,0.617,22.859
1979-07-06,1979,7,July,3.999,24.171,14.085,0.0,2.179,0.637,23.078
1979-07-07,1979,7,July,3.471,26.193,14.832,0.0,1.833,0.48,22.93
1979-07-08,1979,7,July,5.549,26.933,16.241,0.0,2.324,0.505,19.993
1979-07-09,1979,7,July,15.965,26.91,21.438,0.0,3.667,0.43,19.022
1979-07-10,1979,7,July,11.286,24.81,18.048,0.0,4.847,0.558,22.38
1979-07-11,1979,7,July,7.777,22.329,15.053,0.0,4.041,0.603,22.742
1979-07-12,1979,7,July,7.639,23.039,15.339,0.0,2.822,0.576,22.905
1979-07-13,1979,7,July,6.148,24.41,15.279,0.0,2.678,0.52,22.539
1979-07-14,1979,7,July,8.02,25.25,16.635,0.0,2.542,0.467,22.02
1979-07-15,1979,7,July,11.085,25.746,18.416,0.0,2.81,0.39,22.915
1979-07-16,1979,7,July,8.428,27.21,17.819,0.0,2.722,0.393,23.241
1979-07-17,1979,7,July,8.557,26.609,17.583,0.0,3.227,0.411,23.31
1979-07-18,1979,7,July,8.502,26.545,17.524,0.0,3.061,0.438,23.268
1979-07-19,1979,7,July,8.83,27.934,18.382,0.0,2.565,0.424,23.174
1979-07-20,1979,7,July,10.356,29.071,19.714,0.0,2.264,0.382,23.24
1979-07-21,1979,7,July,11.412,29.472,20.442,0.0,2.609,0.33,23.195
1979-07-22,1979,7,July,11.116,28.61,19.863,0.0,3.138,0.342,23.298
1979-07-23,1979,7,July,10.189,27.445,18.817,0.0,3.112,0.397,23.62
1979-07-24,1979,7,July,8.607,27.36,17.984,0.0,2.556,0.377,23.883
1979-07-25,1979,7,July,7.765,27.679,17.722,0.0,2.618,0.34,23.858
1979-07-26,1979,7,July,8.722,27.111,17.916,0.0,3.284,0.389,23.877
1979-07-27,1979,7,July,9.078,25.855,17.466,0.0,3.362,0.417,24.105
1979-07-28,1979,7,July,6.002,25.936,15.969,0.0,2.754,0.357,24.541
1979-07-29,1979,7,July,7.436,25.278,16.357,0.0,3.584,0.339,24.606
1979-07-30,1979,7,July,7.735,24.396,16.066,0.0,3.758,0.418,24.63
1979-07-31,1979,7,July,6.489,24.117,15.303,0.0,3.45,0.466,24.539
1979-08-01,1979,8,August,7.196,23.647,15.422,0.0,3.668,0.498,24.475
1979-08-02,1979,8,August,7.153,25.047,16.1,0.0,3.053,0.522,24.414
1979-08-03,1979,8,August,7.672,27.274,17.473,0.0,2.797,0.462,24.572
1979-08-04,1979,8,August,9.606,27.345,18.475,0.0,3.047,0.457,24.404
1979-08-05,1979,8,August,9.509,28.69,19.1,0.0,2.887,0.413,24.962
1979-08-06,1979,8,August,9.623,28.724,19.173,0.0,2.992,0.338,25.093
1979-08-07,1979,8,August,9.257,29.791,19.524,0.0,3.081,0.25,25.511
1979-08-08,1979,8,August,9.63,29.616,19.623,0.0,3.328,0.276,25.741
1979-08-09,1979,8,August,9.158,29.24,19.199,0.0,3.233,0.32,25.392
1979-08-10,1979,8,August,11.349,28.729,20.039,0.0,3.486,0.317,25.534
1979-08-11,1979,8,August,10.998,28.986,19.992,0.0,3.183,0.435,25.271
1979-08-12,1979,8,August,10.776,29.373,20.074,0.0,2.866,0.38,25.318
1979-08-13,1979,8,August,11.88,29.549,20.714,0.0,3.156,0.338,25.435
1979-08-14,1979,8,August,11.625,28.535,20.08,0.0,3.216,0.371,25.644
1979-08-15,1979,8,August,11.884,28.106,19.995,0.0,3.884,0.385,25.447
1979-08-16,1979,8,August,12.972,28.122,20.547,0.0,3.726,0.383,23.96
1979-08-17,1979,8,August,9.855,27.551,18.703,0.0,3.198,0.366,25.755
1979-08-18,1979,8,August,9.913,28.483,19.198,0.0,2.977,0.382,25.787
1979-08-19,1979,8,August,11.819,29.607,20.713,0.0,3.541,0.335,26.025
1979-08-20,1979,8,August,12.608,30.953,21.78,0.0,2.999,0.264,25.903
1979-08-21,1979,8,August,17.01,31.753,24.382,0.0,2.289,0.243,15.348
1979-08-22,1979,8,August,15.484,32.919,24.202,0.0,3.363,0.238,25.988
1979-08-23,1979,8,August,17.713,33.075,25.394,0.0,2.575,0.235,26.041
1979-08-24,1979,8,August,13.631,32.338,22.984,0.0,3.214,0.248,26.689
1979-08-25,1979,8,August,18.437,32.705,25.571,0.0,3.921,0.249,26.372
1979-08-26,1979,8,August,17.319,32.506,24.912,0.0,3.891,0.266,26.615
1979-08-27,1979,8,August,17.313,31.946,24.63,0.0,4.322,0.248,26.96
1979-08-28,1979,8,August,15.569,31.22,23.394,0.0,3.896,0.272,27.277
1979-08-29,1979,8,August,14.069,31.426,22.748,0.0,3.351,0.277,27.343
1979-08-30,1979,8,August,13.445,31.796,22.62,0.0,3.006,0.275,27.331
1979-08-31,1979,8,August,14.899,33.237,24.068,0.0,2.978,0.23,27.572
1979-09-01,1979,9,September,15.887,35.18,25.534,0.0,2.678,0.213,27.633
1979-09-02,1979,9,September,16.796,35.501,26.148,0.0,3.06,0.2,27.588
1979-09-03,1979,9,September,17.52,32.778,25.149,0.0,3.802,0.219,26.217
1979-09-04,1979,9,September,18.945,31.785,25.365,0.0,5.11,0.256,27.808
1979-09-05,1979,9,September,15.818,29.203,22.51,0.0,4.384,0.387,27.782
1979-09-06,1979,9,September,13.171,29.224,21.197,0.0,3.455,0.384,28.29
1979-09-07,1979,9,September,13.925,30.795,22.36,0.0,3.083,0.313,28.306
1979-09-08,1979,9,September,14.045,31.212,22.628,0.0,3.883,0.296,28.074
1979-09-09,1979,9,September,14.143,30.294,22.218,0.0,4.519,0.277,28.265
1979-09-10,1979,9,September,12.39,29.323,20.856,0.0,3.951,0.364,28.171
1979-09-11,1979,9,September,11.294,30.181,20.738,0.0,3.368,0.293,28.709
1979-09-12,1979,9,September,13.376,32.537,22.956,0.0,2.836,0.264,28.7
1979-09-13,1979,9,September,17.807,33.987,25.897,0.0,2.827,0.248,27.471
1979-09-14,1979,9,September,14.414,32.903,23.658,0.0,3.225,0.225,29.047
1979-09-15,1979,9,September,15.31,32.634,23.972,0.0,3.321,0.266,29.011
1979-09-16,1979,9,September,14.216,33.12,23.668,0.0,2.868,0.273,29.263
1979-09-17,1979,9,September,13.034,34.641,23.838,0.0,2.53,0.264,29.106
1979-09-18,1979,9,September,15.031,34.835,24.933,0.0,3.027,0.221,29.411
1979-09-19,1979,9,September,18.952,33.962,26.457,0.0,4.27,0.205,29.379
1979-09-20,1979,9,September,15.579,32.447,24.013,0.0,3.807,0.224,29.692
1979-09-21,1979,9,September,14.934,32.265,23.6,0.0,3.288,0.296,29.828
1979-09-22,1979,9,September,14.276,33.224,23.75,0.0,3.029,0.247,29.923
1979-09-23,1979,9,September,14.177,33.77,23.974,0.0,2.936,0.21,30.167
1979-09-24,1979,9,September,14.011,35.119,24.565,0.0,2.859,0.201,30.066
1979-09-25,1979,9,September,16.606,34.78,25.693,0.0,3.37,0.209,30.109
1979-09-26,1979,9,September,15.695,34.72,25.208,0.0,3.221,0.238,30.105
1979-09-27,1979,9,September,14.157,33.468,23.812,0.0,2.897,0.255,30.023
1979-09-28,1979,9,September,15.561,32.738,24.15,0.0,3.364,0.266,30.082
1979-09-29,1979,9,September,15.294,33.567,24.431,0.0,3.176,0.291,30.125
1979-09-30,1979,9,September,15.834,34.846,25.34,0.0,2.924,0.278,30.111
1979-10-01,1979,10,October,14.165,35.22,24.692,0.0,2.92,0.244,30.458
1979-10-02,1979,10,October,17.838,35.225,26.532,0.0,3.264,0.196,31.103
1979-10-03,1979,10,October,16.933,35.896,26.414,0.0,3.311,0.198,30.99
1979-10-04,1979,10,October,15.826,34.824,25.325,0.0,3.453,0.209,30.848
1979-10-05,1979,10,October,17.036,32.913,24.974,0.0,3.644,0.26,30.797
1979-10-06,1979,10,October,16.623,31.832,24.228,0.0,3.74,0.276,30.969
1979-10-07,1979,10,October,16.098,31.972,24.035,0.0,3.666,0.275,30.533
1979-10-08,1979,10,October,17.66,32.814,25.237,0.0,3.52,0.292,30.587
1979-10-09,1979,10,October,15.223,34.414,24.818,0.0,2.328,0.355,21.432
1979-10-10,1979,10,October,17.363,36.892,27.128,0.0,2.041,0.339,26.022
1979-10-11,1979,10,October,20.045,35.081,27.563,0.0,2.301,0.318,19.6
1979-10-12,1979,10,October,14.889,35.754,25.322,0.0,2.067,0.386,20.51
1979-10-13,1979,10,October,16.683,33.609,25.146,3.234,2.239,0.45,25.727
1979-10-14,1979,10,October,16.78,32.615,24.698,0.213,2.567,0.392,25.283
1979-10-15,1979,10,October,19.868,36.654,28.261,0.0,2.609,0.448,21.586
1979-10-16,1979,10,October,15.617,31.638,23.628,2.558,1.832,0.614,21.128
1979-10-17,1979,10,October,16.649,33.081,24.865,6.242,1.805,0.566,17.761
1979-10-18,1979,10,October,16.04,34.436,25.238,1.14,2.908,0.555,18.93
1979-10-19,1979,10,October,16.617,32.492,24.554,2.005,1.613,0.612,15.846
1979-10-20,1979,10,October,15.201,31.966,23.584,4.714,1.567,0.65,19.562
1979-10-21,1979,10,October,14.917,30.29,22.604,10.471,1.545,0.775,22.701
1979-10-22,1979,10,October,15.39,30.456,22.923,0.0,2.168,0.579,23.129
1979-10-23,1979,10,October,19.426,32.799,26.112,0.0,3.178,0.348,25.908
1979-10-24,1979,10,October,17.273,32.726,24.999,0.0,2.763,0.39,19.742
1979-10-25,1979,10,October,16.168,34.817,25.492,0.0,2.074,0.402,28.298
1979-10-26,1979,10,October,18.963,33.579,26.271,3.09,2.959,0.411,31.147
1979-10-27,1979,10,October,15.587,32.769,24.178,0.0,3.273,0.335,31.784
1979-10-28,1979,10,October,19.627,33.777,26.702,0.0,1.661,0.365,20.93
1979-10-29,1979,10,October,18.532,34.853,26.693,0.0,2.722,0.32,31.407
1979-10-30,1979,10,October,20.715,32.628,26.672,0.0,2.17,0.387,24.484
1979-10-31,1979,10,October,15.126,35.988,25.557,0.0,2.044,0.407,30.641
1979-11-01,1979,11,November,18.875,34.667,26.771,0.0,2.76,0.293,30.07
1979-11-02,1979,11,November,16.691,34.357,25.524,0.0,2.416,0.304,23.825
1979-11-03,1979,11,November,16.909,33.489,25.199,0.0,1.797,0.352,21.552
1979-11-04,1979,11,November,20.491,34.92,27.706,0.024,2.856,0.353,25.688
1979-11-05,1979,11,November,14.958,33.211,24.084,0.0,1.851,0.447,26.223
1979-11-06,1979,11,November,18.926,32.187,25.556,0.0,1.593,0.409,23.767
